symbol,side,entry_price,exit_price,quantity,reason,points,pnl
SBIN,SHORT,803.35,802.4,1,END_OF_DAY,0.1,0.1
LTF,SHORT,218.03,217.18,1,END_OF_DAY,0.62,0.62
