SL_NO,SCRIPT_LIST,STOP_LOSS_PERCENT,NO_OF_SHARES,ENTRY_TIME,EXIT_TIME
1,SBIN,0.25,1,13:13:59,15:10:59
2,LTF,0.25,1,13:13:59,15:10:59
